scenario_id,init_pos,init_vel,ref_pos,ref_vel,oracle_status,oracle_u0,oracle_objective,oracle_min_state_margin,oracle_min_state_margin_step,oracle_min_state_margin_kind,oracle_min_input_margin,oracle_min_input_margin_step,oracle_min_input_margin_kind,oracle_n_active_state,oracle_n_active_input,oracle_x_traj,oracle_u_traj,oracle_state_active,oracle_input_active,oracle_pos_upper_dual_norm_max,oracle_pos_lower_dual_norm_max,oracle_vel_upper_dual_norm_max,oracle_vel_lower_dual_norm_max,oracle_u0_saturated,oracle_max_state_dual_norm,group_fixed,group_quantile
0,0.8766593553790827,-0.0733458722975372,1.6495504315923593,0.0,optimal,0.5000000000018908,74.5826144847008,0.4298068728041311,14,vel_upper,-1.890820833239104e-12,0,u_upper,0,12,"[[0.8766593553951212, -0.07334587227782594], [0.8718247681833221, -0.023345872259530845], [0.871990180973215, 0.026654127757149332], [0.8771555937645598, 0.0766541277722296], [0.8873210065571117, 0.1266541277857342], [0.9024864193506239, 0.17665412779769696], [0.922651832144849, 0.22665412780816183], [0.9478172449395414, 0.27665412781718296], [0.9779826577344592, 0.32665412782482495], [1.013148070529366, 0.37665412783116303], [1.053313483324033, 0.42665412783628265], [1.098478896118241, 0.47665412784027983], [1.1486443089117826, 0.5266541278432627], [1.2029790611745477, 0.5600409172470276], [1.2594907634037535, 0.5701931271958689], [1.31621463116986, 0.5642842280094684], [1.3718950269013617, 0.5493236865281917], [1.4259159046057779, 0.5310938674917264], [1.4781639314186115, 0.5138666687197857]]","[0.5000000000018908, 0.5000000000017303, 0.5000000000015707, 0.5000000000014132, 0.5000000000012585, 0.5000000000011079, 0.500000000000962, 0.5000000000008221, 0.5000000000006891, 0.5000000000005642, 0.5000000000004482, 0.5000000000003643, 0.33386789401709677, 0.10152209947511312, -0.05908899187162871, -0.14960541481617082, -0.18229819036516437, -0.17227198771824387]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
1,0.6315776929899646,-0.48698718253482054,2.1878628175290773,0.0,optimal,0.5000000000133372,591.2683166425667,0.5630128177332587,1,vel_lower,-1.3337220217124468e-11,0,u_upper,0,17,"[[0.6315776930940379, -0.4869871823962384], [0.5853789749582038, -0.4369871822667412], [0.5441802568345684, -0.38698718214773564], [0.5079815387216462, -0.33698718203914263], [0.4767828206179235, -0.286987181940832], [0.4505841025218693, -0.23698718185261924], [0.42938538443194535, -0.18698718177426304], [0.41318666634661727, -0.1369871817054634], [0.40198794826436546, -0.08698718164586003], [0.3957892301836963, -0.03698718159503162], [0.39459051210315316, 0.013012818447504633], [0.3983917940213275, 0.06301281848229287], [0.40719307593686993, 0.11301281850993791], [0.4209943578485001, 0.1630128185311042], [0.43979563975501773, 0.21301281854651416], [0.46359692165531186, 0.2630128185569463], [0.4923982035483704, 0.3130128185632328], [0.5261994854332886, 0.36301281856625833], [0.5635080735433389, 0.38315894324817673]]","[0.5000000000133372, 0.5000000000122945, 0.5000000000112576, 0.5000000000102311, 0.5000000000092205, 0.5000000000082312, 0.5000000000072689, 0.5000000000063393, 0.5000000000054488, 0.5000000000046031, 0.5000000000038084, 0.5000000000030708, 0.5000000000023962, 0.5000000000017903, 0.500000000001259, 0.5000000000008075, 0.500000000000456, 0.2014612468124235]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,far
2,0.8356470463691297,0.3432771663323445,-1.710677289692489,0.0,optimal,-0.5000000000195457,1323.6286727789895,0.46534942482919994,18,vel_lower,-1.9545698393130806e-11,0,u_lower,0,17,"[[0.8356470462166065, 0.3432771661292517], [0.8674747626774238, 0.2932771659394732], [0.8943024791203642, 0.2432771657650705], [0.9161301955476049, 0.19327716560592778], [0.932957911961364, 0.14327716546185418], [0.9447856283638854, 0.09327716533257921], [0.9516133447574234, 0.043277165217749256], [0.953441061144227, -0.0067228348830754864], [0.9502687775265228, -0.05672283497042298], [0.9420964939065, -0.10672283504491076], [0.9289242102862929, -0.1567228351072464], [0.910751926667966, -0.20672283515822742], [0.8875796430534966, -0.2567228351987402], [0.8594073594447609, -0.3067228352297585], [0.8262350758435177, -0.35672283525234105], [0.7880627922513953, -0.4067228352676288], [0.7448905086698768, -0.4567228352768413], [0.6967182251002876, -0.5067228352812749], [0.6446495545493586, -0.5346505751708001]]","[-0.5000000000195457, -0.5000000000180177, -0.5000000000164979, -0.5000000000149937, -0.5000000000135126, -0.5000000000120627, -0.5000000000106524, -0.5000000000092901, -0.500000000007985, -0.5000000000067456, -0.5000000000055811, -0.5000000000045002, -0.5000000000035115, -0.5000000000026237, -0.5000000000018451, -0.5000000000011834, -0.5000000000006681, -0.2792773988853439]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
3,-0.15876499873418526,-0.1550423709209025,1.9631189487035678,0.0,optimal,0.5000000000142966,784.7304004271018,0.2970924144119259,18,vel_upper,-1.4296563932703066e-11,0,u_upper,0,17,"[[-0.15876499862261545, -0.15504237077235128], [-0.17176923558858495, -0.10504237063353948], [-0.17977347254147885, -0.05504237050597493], [-0.18277770948289007, -0.005042370389572821], [-0.18078194641444123, 0.04495762971580656], [-0.17378618333777388, 0.09495762981036113], [-0.16179042025453705, 0.14495762989434968], [-0.14479465716637566, 0.194957629968094], [-0.12279889407491859, 0.2449576300319804], [-0.0958031309817669, 0.29495763008646064], [-0.0638073678884818, 0.3449576301320525], [-0.02681160479657295, 0.3949576301693393], [0.015184158292513246, 0.4449576301989695], [0.06217992137740489, 0.49495763022165545], [0.11417568445681556, 0.5449576302381716], [0.17117144752955474, 0.5949576302493523], [0.23316721059453788, 0.6449576302560898], [0.30016297365079564, 0.6949576302593321], [0.3700562344638826, 0.7029075855880741]]","[0.5000000000142966, 0.5000000000131788, 0.5000000000120672, 0.5000000000109669, 0.5000000000098834, 0.5000000000088228, 0.5000000000077912, 0.5000000000067949, 0.5000000000058402, 0.5000000000049337, 0.500000000004082, 0.5000000000032914, 0.5000000000025683, 0.5000000000019189, 0.5000000000013494, 0.5000000000008654, 0.5000000000004886, 0.07949955328017631]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,mid,mid
4,0.46036838425812654,0.38731393592499597,-0.2602946853942769,0.0,optimal,-0.5000000000057419,127.6712974068899,0.5686094124138048,17,vel_lower,-5.7418514387563846e-12,0,u_lower,0,16,"[[0.4603683842131867, 0.3873139358653273], [0.4965997777549029, 0.33731393580958335], [0.5278311712913705, 0.28731393575836955], [0.5540625648232318, 0.23731393571165157], [0.5752939583511412, 0.18731393566937293], [0.5915253518757604, 0.13731393563145353], [0.6027567453977544, 0.0873139355977887], [0.6089881389177861, 0.037313935568248344], [0.6102195324365123, -0.012686064457323714], [0.606450925954578, -0.06268606447911007], [0.5976823194726122, -0.11268606449731995], [0.5839137129912232, -0.16268606451218906], [0.5651451065109934, -0.21268606452397934], [0.5413765000324753, -0.2626860645329785], [0.5126078935561864, -0.3126860645394993], [0.47883928708260565, -0.36268606454387875], [0.44007068061216914, -0.41268606454647844], [0.39786684799334027, -0.43139058758619514], [0.3548629654625236, -0.4286870628648125]]","[-0.5000000000057419, -0.5000000000052917, -0.5000000000048439, -0.5000000000044008, -0.5000000000039645, -0.5000000000035374, -0.500000000003122, -0.5000000000027208, -0.5000000000023366, -0.5000000000019719, -0.5000000000016291, -0.5000000000013112, -0.5000000000010204, -0.5000000000007595, -0.5000000000005309, -0.5000000000003523, -0.1870452303853567, 0.02703524721608577]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,far
5,-0.872836090288714,0.0655017444190018,-2.0064406219207935,0.0,optimal,-0.5000000000049711,176.97058563300496,0.30527416875726177,16,vel_lower,-4.971134615061601e-12,0,u_lower,0,14,"[[-0.8728360903285127, 0.0655017443672982], [-0.8687859159314657, 0.015501744319081417], [-0.8697357415389392, -0.03449825572512461], [-0.8756855671503574, -0.08449825576535198], [-0.8866353927651346, -0.13449825580165323], [-0.9025852183826781, -0.18449825583410248], [-0.9235350440023935, -0.23449825586279632], [-0.9494848696236882, -0.28449825588785466], [-0.9804346952459763, -0.33449825590942106], [-1.0163845208686828, -0.3844982559276633], [-1.0573343464912486, -0.4344982559427731], [-1.1032841721131337, -0.4844982559549661], [-1.1542339977338227, -0.5344982559644819], [-1.2101838233528284, -0.5844982559715829], [-1.271133648969696, -0.6344982559765576], [-1.3368571450303983, -0.6799716649075465], [-1.4055920198512648, -0.6947258312427382], [-1.4747445901084528, -0.6883255736991167], [-1.5427482351620079, -0.6717473272365169]]","[-0.5000000000049711, -0.5000000000045725, -0.5000000000041761, -0.5000000000037841, -0.5000000000033984, -0.5000000000030211, -0.5000000000026548, -0.5000000000023015, -0.5000000000019637, -0.5000000000016438, -0.5000000000013441, -0.500000000001067, -0.5000000000008149, -0.5000000000006246, -0.45473408927880243, -0.14754166333496613, 0.06400257544280623, 0.16578246462582374]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
6,1.048419750376263,0.15799727894647786,1.1872036043927197,0.0,optimal,0.043293949425240244,0.9657761699014766,0.8025794418174428,18,pos_upper,0.356694421436749,6,u_lower,0,0,"[[1.0484197503762662, 0.1579972789464792], [1.0644359480180434, 0.1623266738890042], [1.0805479378442018, 0.15991312263410085], [1.0961542503919426, 0.15221312832066203], [1.1108143094465526, 0.14098805277149143], [1.1242480736615843, 0.12768723152909842], [1.1363045592128378, 0.11344247949593114], [1.1469322792696162, 0.09911192163960592], [1.1561541121258279, 0.08532473548460212], [1.16404644894496, 0.07252200089802216], [1.1707221917024926, 0.06099285425261665], [1.176317121130131, 0.050905734300140955], [1.180979144955348, 0.04233474220419138], [1.1848599464441267, 0.03528128757138155], [1.1881085752560296, 0.02969128866667246], [1.1908665514019106, 0.02546823425094814], [1.1932640732275712, 0.022482202262269234], [1.1954167854340283, 0.020572041866874377], [1.1974205581825572, 0.01950341310370661]]","[0.043293949425240244, -0.0241355125490406, -0.07699994313439291, -0.11225075549170867, -0.13300821242393115, -0.1424475203316726, -0.14330557856325102, -0.137871861550036, -0.12802734586579717, -0.11529146645405254, -0.10087119952475433, -0.08570992095949329, -0.07053454632809614, -0.05589998904708892, -0.04223054415724161, -0.02986031988678787, -0.019101603953947756, -0.010686287631677166]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,False,0.0,far,far
7,-0.4655169019844212,0.5648376292738838,1.8083571580821092,0.0,optimal,0.5000000000025533,514.5414031545876,-2.4487079031132453e-12,10,vel_upper,-2.553290912032935e-12,0,u_upper,8,8,"[[-0.4655169019554204, 0.5648376293008666], [-0.40653313899645854, 0.6148376293252057], [-0.342549376035353, 0.6648376293466346], [-0.2735656130725552, 0.7148376293651884], [-0.19958185010852086, 0.7648376293809205], [-0.12059808714370586, 0.8148376293939035], [-0.03661432417856244, 0.8648376294042291], [0.05236943878646511, 0.9148376294120084], [0.14635320175094457, 0.9648376294173748], [0.2445950832433078, 0.9999999999974389], [0.3445950832635179, 1.0000000000024487], [0.44459508328218045, 1.000000000001726], [0.5445950832989757, 1.0000000000015687], [0.6445950833138486, 1.0000000000013731], [0.744595083326727, 1.0000000000011788], [0.8445950833375439, 1.0000000000008735], [0.9445950833462969, 1.0000000000015639], [1.044047509270558, 0.9890485183544215], [1.1417538951611836, 0.9650791993714142]]","[0.5000000000025533, 0.5000000000022636, 0.5000000000019766, 0.5000000000016942, 0.500000000001418, 0.5000000000011501, 0.5000000000008922, 0.5000000000006807, 0.3516237057700984, 6.529608574163401e-11, 1.9006715151820385e-12, 6.892705356106132e-12, 5.517964140612004e-12, 4.524126939750089e-12, 2.3199315106736937e-12, 1.2149528387928776e-11, -0.10951481647532532, -0.23969318982975693]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, true, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,34.75112605238987,0.0,True,34.75112605238987,near,near
8,0.8908271906360379,-0.36643355057763893,-0.15308338285564282,0.0,optimal,-0.5000000000001731,81.96432808022097,0.24325851103577045,9,vel_lower,-1.730837695390619e-13,0,u_lower,0,7,"[[0.890827190634045, -0.3664335505794695], [0.85168383557412, -0.41643355058111836], [0.8075404805140622, -0.46643355058256797], [0.7583971254539099, -0.5164335505838225], [0.7042537703937006, -0.5664335505848876], [0.6451104153334725, -0.6164335505857715], [0.5809670602732625, -0.6664335505864842], [0.5118237052131067, -0.7164335505870383], [0.43834027983791424, -0.7532349568899482], [0.3628414575440133, -0.7567414889642295], [0.2882389356575584, -0.7353089487441702], [0.21658013405707732, -0.697867083247874], [0.14909783754841158, -0.651778846910856], [0.08636590842739397, -0.602859735497704], [0.02844462578786835, -0.5555659172835572], [-0.024992504422624535, -0.5131766869193072], [-0.07454876104837174, -0.4779484455905997], [-0.12100591684004192, -0.45119467023941184], [-0.16520583941338948, -0.43280378122547936]]","[-0.5000000000001731, -0.5000000000001532, -0.5000000000001337, -0.5000000000001146, -0.5000000000000961, -0.5000000000000787, -0.5000000000000665, -0.3680140630250592, -0.03506532073997017, 0.21432540220246837, 0.3744186549640743, 0.4608823633707164, 0.489191114131637, 0.4729381821413044, 0.4238923036421695, 0.35228241328667487, 0.2675377535114845, 0.18390889013899797]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,mid,mid
9,-1.459827949480868,-0.4148526095189426,0.8420251849152911,0.0,optimal,0.5000000000183864,1147.2603567745405,0.36828996469924613,8,pos_lower,-1.8386403510817217e-11,0,u_upper,0,17,"[[-1.4598279493373936, -0.4148526093278966], [-1.4988132101271, -0.364852609149375], [-1.5327984708999893, -0.314852608985317], [-1.56178373165811, -0.2648526088356137], [-1.5857689924035487, -0.21485260870008543], [-1.6047542531384158, -0.16485260857847794], [-1.6187395138648324, -0.11485260847045856], [-1.6277247745849135, -0.06485260837561362], [-1.6317100353007539, -0.014852608293446475], [-1.6306952960144128, 0.03514739177662373], [-1.6246805567278981, 0.0851473918352626], [-1.6136658174431517, 0.13514739188322028], [-1.5976510781620339, 0.18514739192133062], [-1.5766363388863096, 0.23514739195050954], [-1.5506215996176334, 0.28514739197175304], [-1.5196068603575366, 0.3351473919861343], [-1.4835921211074148, 0.3851473919948006], [-1.4425773818685148, 0.43514739199897134], [-1.3976421404127157, 0.4635574365840993]]","[0.5000000000183864, 0.500000000016949, 0.5000000000155194, 0.5000000000141044, 0.5000000000127112, 0.5000000000113473, 0.5000000000100205, 0.5000000000087391, 0.5000000000075114, 0.5000000000063456, 0.5000000000052501, 0.5000000000042333, 0.5000000000033032, 0.5000000000024681, 0.5000000000017356, 0.5000000000011132, 0.5000000000006286, 0.28410044584196026]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
10,0.7832388989050147,0.5610116789210521,-0.801203352564501,0.0,optimal,-0.5000000000143227,661.1102684953661,0.4889883213668348,1,vel_upper,-1.4322654173781757e-11,0,u_lower,0,17,"[[0.7832388987932544, 0.5610116787722307], [0.8368400665590213, 0.5110116786331652], [0.8854412343116881, 0.4610116785053663], [0.92904240205285, 0.4110116783887492], [0.9676435697841322, 0.36101167828317393], [1.0012447375071791, 0.31101167818844255], [1.0298459052236424, 0.2610116781042959], [1.0534470729351695, 0.21101167803041176], [1.0720482406433929, 0.16101167796640342], [1.0856494083499162, 0.1110116779118184], [1.0942505760563037, 0.061011677866138266], [1.0978517437640682, 0.011011677828778708], [1.0964529114746588, -0.038988322200909774], [1.0900540791894502, -0.08898832222364067], [1.078655246909732, -0.1389883222401898], [1.0622564146366968, -0.1889883222513932], [1.0408575823714319, -0.2389883222581445], [1.014458750114909, -0.28898832226139376], [0.9842814019820114, -0.31455863998141215]]","[-0.5000000000143227, -0.500000000013203, -0.5000000000120894, -0.5000000000109872, -0.5000000000099019, -0.5000000000088395, -0.500000000007806, -0.5000000000068078, -0.5000000000058514, -0.5000000000049433, -0.5000000000040898, -0.5000000000032978, -0.5000000000025733, -0.5000000000019227, -0.5000000000013521, -0.5000000000008672, -0.5000000000004897, -0.2557031771929229]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
11,-0.4145289406884196,-0.03653302646903045,-1.4284317482122857,0.0,optimal,-0.5000000000023233,116.21431843122522,0.3093827475381806,14,vel_lower,-2.3232527013306026e-12,0,u_lower,0,12,"[[-0.41452894070812596, -0.03653302649324907], [-0.42068224337708954, -0.08653302651572767], [-0.4318355460481321, -0.13653302653622204], [-0.44798884872095845, -0.18653302655475062], [-0.46914215139526794, -0.2365330265713432], [-0.49529545407075726, -0.2865330265860414], [-0.5264487567471225, -0.3365330265988991], [-0.5626020594240619, -0.386533026609983], [-0.603755362101278, -0.4365330266193724], [-0.6499086647784805, -0.48653302662715964], [-0.7010619674553884, -0.5365330266334499], [-0.7572152701317323, -0.586533026638361], [-0.8183685728072574, -0.6365330266420259], [-0.8840647360424134, -0.6773902378583544], [-0.9524651105670978, -0.6906172524618194], [-1.0212012179228658, -0.6841048945100401], [-1.0887240472848627, -0.6663516926164048], [-1.1542632279638552, -0.6444319208793938], [-1.2176645818667537, -0.6235951571230979]]","[-0.5000000000023233, -0.5000000000021259, -0.5000000000019299, -0.5000000000017364, -0.5000000000015464, -0.5000000000013612, -0.500000000001182, -0.5000000000010101, -0.5000000000008468, -0.5000000000006932, -0.5000000000005507, -0.5000000000004475, -0.4085721121380331, -0.1322701460183103, 0.06512357952716025, 0.17753201894053441, 0.2191977173707384, 0.20836763756152935]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, true], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
12,-1.1842511829264908,-0.029154088528879463,-1.256216994365933,0.0,optimal,-0.17795428412243455,0.3288594501294054,0.7390441370558547,18,pos_lower,0.3220457158775655,0,u_lower,0,0,"[[-1.1842511829264935, -0.029154088528880535], [-1.1880563631999963, -0.04694951694112481], [-1.193327929924513, -0.058481817549161964], [-1.1994829533413807, -0.06461865078814724], [-1.2060450678808803, -0.06662364000180672], [-1.2126563962652375, -0.06560292768530382], [-1.2190602929416632, -0.06247500584318057], [-1.2250833695357988, -0.057986526039503807], [-1.2306193293104981, -0.05273266945446126], [-1.2356148438842987, -0.04717762202153365], [-1.2400574287899138, -0.04167407609075332], [-1.2439651916875472, -0.03648118186190623], [-1.2473782801287818, -0.03178058696278217], [-1.2503518272142913, -0.02769035474740151], [-1.2529501782078858, -0.024276665124489772], [-1.2552421750615568, -0.02156327194892993], [-1.2572972677172134, -0.019538581164205388], [-1.2591821080417287, -0.01815822532610372], [-1.2609558629441453, -0.017316872722227757]]","[-0.17795428412243455, -0.11532300608036579, -0.06136833238984886, -0.020049892136592584, 0.010207123165029985, 0.03127921842123228, 0.044884798036766635, 0.052538565850423935, 0.055550474329274256, 0.05503545930780125, 0.0519289422884688, 0.04700594899123857, 0.040902322153804856, 0.03413689622911579, 0.027133931755597144, 0.020246907847244432, 0.013803558381015976, 0.008413526038759231]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,False,0.0,far,far
13,0.5434047829840329,-0.07541769735320314,1.530319701866052,0.0,optimal,0.500000000004098,130.93343149331713,0.34855360248380984,16,vel_upper,-4.098055228496378e-12,0,u_upper,0,14,"[[0.5434047830168433, -0.07541769731058066], [0.5383630133184999, -0.025417697270832738], [0.5383212436238828, 0.024582302765608702], [0.5432794739325175, 0.07458230279877015], [0.553237704243921, 0.12458230282869494], [0.5681959345576046, 0.17458230285544418], [0.5881541648730785, 0.22458230287909753], [0.6131123951898537, 0.2745823028997539], [0.6430706255074476, 0.32458230291753165], [0.6780288558253862, 0.37458230293256906], [0.7179870861432083, 0.42458230294502425], [0.762945316460469, 0.4745823029550751], [0.8129035467767436, 0.524582302962919], [0.8678617770916305, 0.5745823029687722], [0.9278200074047545, 0.6245823029728729], [0.9915286252316731, 0.6495900532935198], [1.056580447783165, 0.6514463975161902], [1.1211263911058749, 0.6394724687715734], [1.1842028505062339, 0.6220567191239387]]","[0.500000000004098, 0.5000000000037693, 0.5000000000034426, 0.5000000000031194, 0.5000000000028014, 0.5000000000024905, 0.5000000000021884, 0.5000000000018971, 0.5000000000016187, 0.500000000001355, 0.500000000001108, 0.5000000000008795, 0.5000000000006717, 0.5000000000005149, 0.25007750318084626, 0.018563442212730777, -0.11973928745160022, -0.1741574964762032]","[[false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false], [false, false, false, false]]","[[true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [true, false], [false, false], [false, false], [false, false], [false, false]]",0.0,0.0,0.0,0.0,True,0.0,far,mid
